a-bomb,bom nguyên tử
mot,lời nói dí dỏm
moth,nhậy (cắn quần áo)
moth-ball,viên băng phiến
moth-eaten,bị nhậy cắn
moth-proof,chống nhậy
mother-naked,trần như nhộng
mothercraft,nghệ thuật làm mẹ
motherless,mồ côi mẹ | đứa trẻ mồ côi mẹ
mothy,có nhậy; bị nhậy cắn
motif,(văn học) chủ đề quán xuyến
motile,(sinh vật học) có thể vận động; di động
motivity,động lực
motor-car,xe ô tô
motor-cycle,xe mô tô
motor-scooter,xe mô tô bánh nhỏ (loại vetpa)
motor-ship,thuyền máy
motordom,thuật chơi xe mô tô
motordome,vòng đua ô tô; vòng đua mô tô
motorist,người lái xe ô tô; người chơi xe ô tô
motorman,người lái xe điện; người lái xe buýt
motto,khẩu hiệu; phương châm
moujik,nông dân (nga)
mould,đất tơi xốp
moulder,thợ đúc
moulding,sự đúc; vật đúc
mountaineer,người miền núi
mountebank,người bán thuốc rong
mourning-band,băng tang
mourning-coach,xe tang
mouse-hole,hang chuột
mouser,con mèo tài bắt chuột
mousetrap,bẫy chuột
mousse,món kem mút
mousy,lắm chuột
mouth-organ,kèn acmônica
mouthful,miếng (đầy mồm) | chỉ một miếng
movables,đồ đạc; đồ gỗ
movie,phim xi nê | đi xem phim
moviegoer,người đi xem chiếu bóng
moviegoing,sự đi xem chiếu bóng
movieland,nơi sản xuất nhiều phim
moviemaker,nhà sản xuất nhiều phim
moxie,(từ lóng) tính sôi nổi; tính sinh động
mr.,(viết tắt) của mister
mrs.,(viết tắt) của mistress
mucilage,(sinh vật học) chất nhầy
mucilaginous,(sinh vật học) nhầy
muckworm,giòi (ở phân)
mucosity,chất nhớt
mucous,nhầy | màng nhầy
mucus,nước nhầy
mud-bath,(y học) sự tắm bùn (để chữa bệnh tê thấp)
mudguard,cái chắn bùn
mudlark,người nhặt than bùn
muff,bao tay (của đàn bà)
muffetee,(y học) băng cổ tay
muffin,bánh nướng xốp (ăn với bơ khi uống trà)
muffler,khăn choàng cổ (có thể che được cả mũi và miệng)
mugger,(động vật học) cá sấu ân-ddộ
mugginess,tình trạng nồm ấm (tiết trời)
muggins,thàng ngốc
mulatto,người da trắng lai da đen
mulattress,phụ nữ da trắng lai da đen
mulberry,cây dâu tằm
mulct,phạt tiền | tước của ai cái gì
muleteer,người dắt la
mulinomial,(toán học) đa thức
muller,cái nghiền (bột...)
mullet,grey mullet cá đối
mulligatawny,xúp cay ((cũng) mulligatawny soup)
mulligrubs,(thông tục) trạng thái buồn bực rầu rĩ
mullion,thanh song (ở cửa sổ)
mullioned,có song (cửa sổ)
multicoloured,nhiều màu; sặc sỡ
multiflorous,(thực vật học) nhiều hoa
multifold,muôn màu muôn vẻ
multilateral,nhiều phía
multilingual,nói được nhiều thứ tiếng
multimillionaire,người giàu hàng triệu
multiparous,(động vật học) mỗi lứa đẻ nhiều con
multipartite,chia làm nhiều phần
multiplicand,(toán học) số bị nhân
multiplication,sự nhân
multiplicity,vô số
multiplier,(toán học) số nhân
multure,tiền công xay
mumble,tiếng nói lầm bầm
mummer,diễn viên kịch câm
mummery,kịch câm
mummify,ướp (xác)
mummy,xác (ướp)
mumps,(y học) bệnh quai bị
municipalise,đô thị hoá
municipalization,sự đô thị hoá
municipalize,đô thị hoá
munificence,tính hào phóng
munificent,hào phóng
munition,đạn dược | cung cấp đạn dược cho một pháo đài
muralist,người vẽ tranh tường
murderer,kẻ giết người
murderess,người đàn bà giết người
murex,(động vật học) ốc gai
murices,(động vật học) ốc gai
murrain,bệnh dịch súc vật
muscardine,nho xạ
muscat,nho xạ
muscatel,nho xạ
muscle-bound,vai u thịt bắp
muscle-man,lực sĩ cử tạ
muscology,môn học rêu
muscovado,đường cát (đường mía)
muscovite,muscovite người mát-xcơ-va
museologist,nhà khoa học bảo tàng
museology,khoa học bảo tàng
museum,nhà bảo tàng
museum-piece,vật quý có thể đưa vào bảo tàng
music-hall,nhà hát ca múa nhạc
music-paper,giấy chép nhạc
music-roll,cuộn nhạc (của đàn tự động)
music-stool,ghế ngồi đánh pianô
musicale,chương trình nhạc (của một buổi dạ hội)
musician,nhạc sĩ
musicological,(thuộc) âm nhạc học
musicologist,nhà âm nhạc học
musicology,âm nhạc học
musk,xạ hương
musk-cat,(động vật học) cầy hương
musk-deer,(động vật học) hươu xạ
musk-ox,(động vật học) bò xạ
musk-pear,lễ xạ
musk-rat,(động vật học) chuột xạ
musket,súng hoả mai; súng trường
musketeer,lính cầm súng hoả mai
musketry,thuật bắn súng hoả mai; thuật bắn súng trường
muslem,(thuộc) hồi giáo
muslin,vải muxơlin (một thứ vải mỏng)
musquash,(động vật học) chuột nước
mussel,(động vật học) con trai
mussitation,sự mấp máy môi (nói nhưng không ra tiếng)
mustang,(động vật học) ngựa thảo nguyên
mustard,(thực vật học) cây mù tạc
mustee,người lai; người lai ba đời
muster-book,(quân sự) danh sách các lực lượng quân sự
mustiness,mùi mốc
mutism,tật câm
mutt,(từ lóng) chó lai
mutter,sự thì thầm; tiếng thì thầm
mutton,thịt cừu
mutton-head,người ngu đần
mutton-headed,ngu đần
muttony,có mùi vị thịt cừu
mutualise,làm thành của chung
mutualism,(sinh vật học); (triết học) thuyết hỗ sinh
mutuality,tính qua lại
mutualize,làm thành của chung
muzhik,nông dân (nga)
muzzle-loader,súng nạp đạn đằng nòng
my,của tôi
myalgia,(y học) chứng đau cơ
mycelial,(thuộc) hệ sợi (nấm)
mycelium,(thực vật học) hệ sợi (nấm)
mycologic,(thuộc) môn học nấm
mycological,(thuộc) môn học nấm
mycologist,nhà nghiên cứu nấm
mycology,môn học nấm
mycosis,(y học) bệnh nấm
mydriasis,(y học) tật giân đồng tử
mydriatic,(y học) làm giân đồng tử
mynheer,người hà-lan
myocardiograph,máy ghi cơ tim
myocarditis,(y học) viêm cơ tim
myocardium,(y học) cơ tim
myope,người cận thị
myopia,tật cận thị
myopic,cận thị
myopy,tật cận thị
myosis,(y học) tật thu hẹp đồng tử
myosotis,(thực vật học) cỏ lưu ly
myriad,mười nghìn
myriapod,có nhiều chân (động vật)
myrmidon,tay sai đắc lực; lâu la
myrtaceous,(thực vật học) (thuộc) họ sim
myrtle,(thực vật học) cây mía (thuộc họ sim)
mystagogue,thấy tu truyền phép thần (cổ hy-lạp)
mystic,người thần bí
mystical,người thần bí
mysticism,đạo thần bí
mystique,không khí thần bí
myth,thần thoại
mythical,(thuộc) thần thoại
mythicalness,tính chất thần thoại
mythify,biến thành chuyện thần thoại
mythmaker,người sáng tác chuyện thần thoại
mythmaking,sự sáng tác chuyện thần thoại
mythographer,nhà chép thần thoại
mythography,nghệ thuật mô tả chuyện thần thoại
mythologic,(thuộc) thần thoại học; (thuộc) thần thoại
mythological,(thuộc) thần thoại học; (thuộc) thần thoại
mythologize,thần thoại hoá
mythopoeic,sáng tác thơ về chuyện thần thoại
mythopoet,nhà thơ viết chuyện thần thoại
mythopoetic,sáng tác thơ về chuyện thần thoại
mythopoetry,nghệ thuật viết chuyện thần thoại bằng thơ
myxedema,(y học) phù phiếm
myxoedema,(y học) phù phiếm
n,n
nt,(thông tục) (như) not
nab,tóm cổ
nabob,(sử học) quan thái thú ở ân-ddộ
nacarat,màu đỏ tươi
nacelle,giỏ khí cầu
nacreous,lóng lánh như xà cừ; trắng đục như xà cừ
nacrous,lóng lánh như xà cừ; trắng đục như xà cừ
nadiral,(thiên văn học) (thuộc) thiên đế
naevi,vết chàm (ở da)
naevus,vết chàm (ở da)
nagging,mè nheo
naggish,hay mè nheo; khá mè nheo
naggy,hay mè nheo; khá mè nheo
naiad,nữ thuỷ thần (thần thoại hy lạp) ((cũng) water-nymph)
nail-biting,sự cắn móng tay
nail-brush,bàn chải móng tay
nail-file,cái giũa móng tay
nail-head,đầu đinh
nail-polish,thuốc màu bôi móng tay
nail-scissors,kéo cắt móng tay
nailer,thợ làm đinh | hắn ta là một tay chơi bi a cừ khôi
nailery,xưởng làm đinh
nainsook,vải nanxuc
naja,(động vật học) rắn mang bành
name-caller,người hay chửi rủa
name-day,ngày tên thánh (lấy đặt cho ai)
name-part,tên nhân vật chính lấy đặt cho vở kịch
name-plate,biển đề tên (ở cửa)
namesake,người trùng tên; vật cùng tên
nance,người ẻo lả như đàn bà
nancy,người ẻo lả như đàn bà
nandu,(động vật học) đà điểu mỹ
nanism,chứng lùn
nankeen,vải trúc bâu nam kinh
nanny,ruấy khũi bõ
nanny-goat,con dê cái ((cũng) nanny)
napalm,(quân sự) napan | bom napan|*  động từ|- ném bom napan
nape,gáy ((thường) the nape of the neck)
naphtha,ligroin
naphthalene,naptalin
napkin,khăn ăn
napkin-ring,vòng đánh dấu khăn ăn (của từng người)
napless,không có tuyết (hàng vải)
napoleon,(sử học) đồng napôlêông (tiền vàng xưa của pháp)
napthalin,naptalin
narce,xà cừ
narced,khảm xà cừ
narcissi,(thực vật học) hoa thuỷ tiên
narcissistic,tự yêu mình; quá chú ý đến vẻ đẹp của mình
narcissus,(thực vật học) hoa thuỷ tiên
narcolepsy,(y học) chứng ngủ rũ
narcotic,làm mơ mơ màng màng
narcotise,gây mê
narcotization,sự gây mê
narcotize,gây mê
nard,(thực vật học) cây cam tùng
narghile,điếu ống
narrowness,sự chật hẹp
narwhal,(động vật học) kỳ lân biển
nasalise,phát âm theo giọng mũi; nói giọng mũi; mũi hoá
nasality,tính chất âm mũi
nasalization,sự phát âm theo giọng mũi; hiện tượng mũi hoá
nasalize,phát âm theo giọng mũi; nói giọng mũi; mũi hoá
nasological,(thuộc) khoa nghiên cứu mũi
nasologist,nhà nghiên cứu mũi
nasology,khoa nghiên cứu mũi
nastiness,tính bẩn thỉu; tính dơ dáy; sự kinh tởm
nasturtium,(thực vật học) cây sen cạn
natality,tỷ lệ sinh đẻ
natation,sự bơi
natatorial,(thuộc) bơi
nation,dân tộc
nationalise,quốc gia hoá
nationalism,chủ nghĩa dân tộc
nationalist,người theo chủ nghĩa dân tộc
nationalize,quốc gia hoá
nationally,về mặt dân tộc; về mặt quốc gia
nationhood,tính trạng là một dân tộc; tính chất là một quốc gia
native-born,sinh ở địa phương
natrium,(hoá học) natri
natter,nói ba hoa
natterjack,(động vật học) cóc sọc vàng
nattery,có tính cáu kỉnh
naturalist,nhà tự nhiên học
naturalization,sự tự nhiên hoá
naupathia,sự say sóng
nausea,sự buồn nôn; sự lộn mửa
nautch,cuộc biểu diễn của vũ nữ nhà nghề (ân-ddộ)
nautch-girl,vũ nữ nhà nghề (ân-ddộ)
nautical,(thuộc) biển; (thuộc) hàng hải | lịch hàng hải
nautili,(động vật học) ốc anh vũ
nautilus,(động vật học) ốc anh vũ
nave,trục bánh xe
navel,rốn
navy-blue,xanh nước biển
navy-yard,xưởng đóng tàu chiến
nazi,đảng viên đảng quốc xã (đức)
nazism,chủ nghĩa quốc xã
neer,(thơ ca) (viết tắt) của never
near-sighted,cận thị
near-sightedness,tật cận thị
near-silk,tơ nhân tạo
nearness,trạng thái ở gần
neats-foot,chân bò (để ăn)
neats-leather,da bò
neats-tongue,lưỡi bò (để ăn)
neat-herd,người chăn bò
neb,(ê-cốt) mũi; mỏ; mõm
nebula,(thiên văn học) tinh vân
nebulae,(thiên văn học) tinh vân
nebular,(thiên văn học) (thuộc) tinh vân | thuyết tinh vân
nebulosity,mây mù
neck-collar,cổ cồn
neck-mould,(kiến trúc) đường chỉ viền quanh đầu cột
neckband,cổ áo
neckcloth,ca vát
neckerchief,khăn quàng cổ
necking,(kiến trúc) cổ cột (phần làm sát dưới đầu cột)
necktie,ca vát
neckwear,cổ cồn ca vát (nói chung)
necrologist,người chép tiểu sử người chết
necrology,danh sách người chết
necromancer,thầy đồng gọi hồn
necromancy,thuật gọi hồn
necrophagous,ăn xác chết
necropsy,sự mổ tử thi (để khám nghiệm)
necroscopy,sự mổ tử thi (để khám nghiệm)
necroses,(sinh vật học) sự chết hoại
necrosis,(sinh vật học) sự chết hoại
necrotic,(sinh vật học) chết hoại
necrotise,(sinh vật học) chết hoại
necrotize,(sinh vật học) chết hoại
nectarean,thơm dịu như rượu tiên; dịu ngọt như mật hoa
nectariferous,(thực vật học) có mật | hoa có mật
nectarine,quả xuân đào
nectary,(thơ ca) tuyến mật (ở hoa)
neddy,(thông tục) con lừa
needfulness,sự cần thiết; tính cần thiết
neediness,cảnh túng thiếu
needle-bath,sự tắm bằng tia nước thật nhỏ
needle-bearing,(kỹ thuật) ổ kim
needle-case,ống kim
needle-lace,đăng ten ren bằng kim
needle-shaped,hình kim
needleful,đoạn chỉ xâu kim (mỗi lần)
needlewoman,người đàn bà làm nghề vá may
needments,những thứ cần dùng (đặc biệt là để đi du lịch)
needy,nghèo túng | một gia đình nghèo túng
nefarious,hung ác
negativism,thuyết phủ định
negativist,người theo thuyết phủ định
negatory,từ chối; phủ định
negatron,(vật lý) negatron
negligibility,tính không đáng kể
negotiability,tính có thể thương lượng được
negotiable,có thể thương lượng được
negro,người da đen | kiến đen | một làng của người da đen
negro-head,thuốc lá sợi đen đóng bánh
negroid,(thuộc) người da đen
negroidal,(thuộc) người da đen
negus,rượu nêgut rượu vang thêm nước lã pha đường hâm nóng)
neigh,tiếng hí (ngựa)
neighbourliness,tình hàng xóm láng giềng thuận hoà
neighbourly,ăn ở với xóm giềng thuận hoà
neighbourship,tình trạng ở gần
nek,(nam phi) đèo
nekton,(sinh vật học) sinh vật trôi
nelly,(động vật học) chim hải âu lớn
nematode,(động vật học) giun tròn
nemesis,nữ thần báo ứng
nenuphar,(thực vật học) cây súng
neodymium,(hoá học) neoddim
neolithic,(thuộc) thời kỳ đồ đá mới
neologism,từ mới
neologist,người hay dùng từ mới
neologize,dùng từ mới
neology,sự dùng từ mới
neon,nê-ông | đèn nê-ông | đèn nê-ông quảng cáo
neophyte,người mới bước vào nghề
neotropical,(thuộc) trung và nam mỹ; tìm thấy ở trung và nam mỹ
nepenthe,(thơ ca) thuốc giải sầu
nepenthes,(như) nepenthe
nephology,môn học về mây
nephrite,(khoáng chất) nefrit
nephritic,(thuộc) thân
nephritis,(y học) viêm thận
neptunian,(thuộc) thần biển
neptunium,(hoá học) neptuni
neroli,dầu hoa cam
nervate,(thực vật học) có gân (lá)
nervation,(thực vật học) đường gân; cách phát gân (lá cây)
nerve-centre,(giải phẫu) trung khu thần kinh
nerve-knot,(giải phẫu) hạch thần kinh
nerveless,(giải phẫu) không có dây thần kinh
nervelessness,(giải phẫu) sự không có dây thần kinh
nervine,(thuộc) dây thần kinh
nervism,(sinh vật học) thuyết thần kinh
nescience,sự không biết
nescient,(nescient off) không biết
nest-egg,trứng lót ổ (để nhử gà đến đẻ)
nestling,chim non (chưa rời tổ)
nestor,ne-xto (nhân vật trong i-li-át của hô-me)
netful,lưới (đầy)
netherlander,người hà lan
netherlandish,(thuộc) hà lan
nethermost,thấp nhất; ở dưới cùng
nettle,(thực vật học) cây tầm ma
nettle-rash,(y học) chứng mày đay
neural,(thuộc) thần kinh
neuralgia,(y học) chứng đau dây thần kinh
neuralgic,(y học) (thuộc) chứng đau dây thần kinh
neurathenia,(y học) chứng suy nhược thần kinh
neurathenic,(y học) suy nhược thần kinh
neuritis,(y học) viêm dây thần kinh
neurologist,nhà thần kinh học
neuropath,người bị bệnh thần kinh
neuropathist,thầy thuốc chuyên khoa bệnh thần kinh
neuropathology,(y học) bệnh học thần kinh
neuropterous,(động vật học) (thuộc) bộ cánh gân (sâu bọ)
neuroses,(y học) chứng loạn thần kinh chức năng
neurosis,(y học) chứng loạn thần kinh chức năng
neurosurgeon,(y học) nhà giải phẫu thần kinh
neurosurgery,(y học) khoa giải phẫu thần kinh
neurosurgical,(y học) (thuộc) khoa giải phẫu thần kinh
neurotic,loạn thần kinh chức năng
neutralism,chủ nghĩa trung lập
neutralist,người chủ nghĩa trung lập
neutrality,tính chất trung lập; thái độ trung lập
neutralization,(quân sự) sự trung lập hoá
neutron,(vật lý) nơtron
never-fading,không bao giờ phai
never-to-be-forgotten,không bao giờ quên được
new-blown,mới nở (hoa)
new-born,mới sinh
new-built,mới xây
new-come,mới đến
newcomer,người mới đến
newel,(kiến trúc) trụ giữa cầu thang vòng
newfoundland,giống chó niufalan ((cũng) newfoundland dog)
newish,khá mới
newly,mới | mới đến
newly-wed,người mới cưới
news-agency,hãng thông tin
news-analyst,nhà bình luận thời sự
news-boy,em bé bán báo
news-department,cục thông tin
news-film,phim thời sự
news-letter,(sử học) thư có tin tức gửi thường xuyên về các tỉnh
news-reel,phim thời sự
news-room,phòng đọc báo
news-sheet,truyền đơn
news-vendor,người bán báo
newsbreak,sự kiện quan trọng
newscast,bản tin ở đài
newscaster,người phát thanh bản tin ở đài
newscasting,sự phát thanh bản tin ở đài
newsmonger,người hay phao tin
newspaper,báo | báo hằng ngày
newspaperdom,nghề làm báo
newspaperese,văn báo chí; văn phóng sự
newspaperism,thế lực của báo chí
newsprint,giấy in báo
newt,(động vật học) sa giông
next-best,tốt thứ nhì
nib,đầu ngòi bút (lông ngỗng); ngòi bút (sắt...)
nickel,mạ kền
nickel-plating,(kỹ thuật) sự mạ kền
nickelage,(kỹ thuật) sự mạ kền
nickelise,mạ kền
nickelize,mạ kền
nicotian,(thuộc) thuốc lá
nicotine,nicôtin
nicotinise,tẩm nicôtin
nicotinism,(y học) chứng nhiễm độc nicôtin
nicotinize,tẩm nicôtin
nictation,sự nháy mắt
nictitate,(như) nictate
nictitation,sự nháy mắt
nicy,nhuây kẹo que
nide,ổ gà lôi đỏ
nidi,ổ trứng (sâu bọ...)
nidificate,làm tổ (chim)
nidification,sự làm tổ
nidify,làm tổ (chim)
nidus,ổ trứng (sâu bọ...)
nielli,men huyền (để khảm đồ vàng bạc)
niellist,thợ khảm men huyền (vào đồ vàng bạc)
niello,men huyền (để khảm đồ vàng bạc)
nielloed,khảm men huyền (vào đồ vàng bạc)
night-bird,chim ăn đêm (cú)
night-blind,mắc chứng quáng gà
night-blindness,(y học) chứng quáng gà
night-brawl,sự quấy phá làm ầm ĩ ban đêm (ngoài đường phố)
night-cart,xe đổ rác; xe đổ thùng (ban đêm)
night-clothes,quần áo ngủ
night-club,câu lạc bộ đêm
night-fighter,(hàng không) máy bay khu trục đánh đêm
night-flower,hoa nở về đêm
night-fly,bướm đêm
night-flying,(hàng không) sự bay đêm
night-glass,ống nhòm dùng ban đêm (ở biển)
night-hag,nữ yêu tinh
night-hawk,(như) nightjar
night-line,cần câu đêm
night-piece,bức vẽ cảnh đêm
night-school,lớp học ban đêm; trường học ban đêm
night-shift,ca đêm (ở nhà máy)
night-soil,phân bắc
night-suit,quần áo ngủ
night-time,ban đêm | về đêm
night-walker,người đi chơi đêm
night-watch,sự canh phòng ban đêm
night-watchman,người gác đêm
night-work,việc làm đêm
nightcap,màn ngủ
nightingale,(động vật học) chim sơn ca
nightmare,cơn ác mộng
nightmarish,như một cơn ác mộng
nighty,(thông tục) quần áo ngủ
nigrescence,màu hơi đen
nigritude,màu đen
nihilism,(triết học) thuyết hư vô
nihilist,(triết học) người theo thuyết hư vô
nihilistic,(triết học) hư vô
nihility,hư vô
nilgai,(động vật học) linh dương mingai (ân độ)
nilotic,(thuộc) sông nil
nimble-footed,nhanh chân
nimble-witted,nhanh trí
ninefold,gấp chín lần
ninepins,trò chơi ky chín con
nineteen,mười chín
nineteenth,thứ mười chín
ninetieth,thứ chín mươi
ninth,thứ chín
ninthly,chín là
niobe,nữ thần ni-ốp (thần thoại hy lạp)
niobium,(hoá học) iobi
nipponese,(thuộc) nhật bản
niryana,(tôn giáo) nát bàn
nisei,người mỹ nguồn gốc nhật bản
niton,(hoá học) raddon
nitrate,(hoá học) nitrat
nitration,(hoá học) sự nitro hoá
nitre,(hoá học) kali nitrat
nitric,(hoá học) nitric | axít nitric
nitrification,(hoá học) sự nitrat hoá
nitrify,nitrat hoá
nitrite,(hoá học) nitrit
nitrogen,(hoá học) nitơ
nitroglycerine,(hoá học) nitroglyxerin
nitrous,(hoá học) nitrơ
nitwit,người ngu đần
nitwitted,ngu đần
no-mans-land,(quân sự) khu vực giữa hai trận tuyến
no.,(viết tắt) của number
nob,(từ lóng) cái đầu
nobble,(từ lóng) đánh què (ngựa thi) bỏ thuốc mê (cho ngựa thi)
nobelist,người được giải thưởng nô-ben
nobleness,sự cao quý
noblesse,quý tộc
noctambulant,hay đi chơi đêm
noctambulism,tính hay đi chơi đêm
noctambulist,người hay đi chơi đêm
noctiflorous,nở hoa về đêm (cây)
noctivagant,đi lang thang ban đêm
noctivagous,đi lang thang ban đêm
noctivision,khả năng nhìn thấy trong bóng bổi
noctuid,(động vật học) bướm c
noctule,(động vật học) dơi gộc
nocturnal,(thuộc) đêm; về đêm | chim ăn đêm
nocturne,(âm nhạc) khúc nhạc đêm
nocuous,có hại
nodal,(thuộc) nút | điểm nút||@nodal|- (thuộc) nút
noddle,(thông tục) đầu
nodosity,trạng thái nhiều mắt; sự có nhiều mấu
nodule,hòn nhỏ
noel,ngày lễ nô-en
nog,rượu bia bốc (một loại bia mạnh)
noggin,ca nhỏ
noil,(nghành dệt) len xơ vụn
noisette,hoa hồng noazet
noisome,độc hại cho sức khoẻ
noisomeness,tính chất độc hại cho sức khoẻ
nomad,dân du cư; người sống nay đây mai đó
nomadic,nay đây mai đó; du cư | thời kỳ du cư
nomadise,sống nay đây mai đó; sống cuộc đời du cư
nomadism,đời sống du cư
nomadize,sống nay đây mai đó; sống cuộc đời du cư
nomenclative,(thuộc) danh pháp
nominalism,(triết học) thuyết duy danh
nominalist,(triết học) nhà duy danh
nominally,trên danh nghĩa
nominatival,(ngôn ngữ học) (thuộc) danh sách
nominative,(ngôn ngữ học) (thuộc) danh sách
non-abstainer,người không kiêng rượu
non-acceptance,sự không nhận
non-access,(pháp lý) tình trạng không thể ăn nằm với nhau được
non-additive,không cộng được
non-aggressive,không xâm lược
non-aggressiveness,tính chất không xâm lược
non-alcoholic,không có (chất) rượu
non-aligned,(chính trị) không liên kết | các nước không liên kết
non-alignment,(chính trị) chính sách không liên kết
non-appearance,(pháp lý) sự vắng mặt (trong phiên toà)
non-attention,sự không chú ý
non-believer,người không tín ngưỡng
non-belligerency,sự không tham chiến
non-belligerent,không tham chiến
non-com,(thực vật học) (viết tắt) của non-commissioned officer
non-contagious,không lây
non-cooperation,sự không hợp tác
non-corrodible,không bị gặm mòn
non-crystalline,không kết tinh
non-effective,không hiệu nghiệm
non-essential,không bản chất
non-existence,sự không tồn tại
non-ferrous,màu (kim loại) | kim loại màu
non-freezing,không đông
non-inductive,(vật lý) không tự cảm
non-lending,không cho mượn sách về nhà (thư viện)
non-literate,không có chữ viết
non-member,người không phải là hội viên
non-metal,(hoá học) á kim
non-observance,sự không tuân theo (luật pháp...)
non-partisan,không đảng phái
non-party,không đảng phái
non-perishable,thức ăn để lâu được
non-productive,không sản xuất
non-radioactive,không phóng xạ
non-resistance,sự không kháng cự; sự chịu khuất
non-resistant,không kháng cự
non-resonant,không cộng hưởng
non-skid,non-skid tyre lốp xe không trượt (có khía...)
non-standard,không tiêu chuẩn
non-symmetric,không đối xứng
non-symmetry,tính không đối xứng
non-synchronized,không được làm đồng bộ; không khớp tiếng; không phối hợp
non-synchronous,không đồng bộ; không phối hợp
non-thermal,phi nhiệt
non-toxic,không độc
non-transmitting,không cho truyền qua
non-transparent,không trong suốt
nonagenarian,thọ chín mươi tuổi
nonary,lấy cơ số 9 (hệ thống đếm)
nonce-word,từ đặt ra để dùng trong trường hợp này
nonconformist,người không theo lề thói
nonconformity,sự không theo lề thói
nonsuit,(pháp lý) sự bác đơn
noose,thòng lọng
nopal,(thực vật học) cây tay tiên (một loại xương rồng)
noreast,(như) north-east
norwest,phía tây bắc
norwester,(như) north-wester
nordic,(thuộc) bắc-âu
noria,guồng đạp nước
norland,miền bắc
norlander,người phương bắc
norm,quy tắc tiêu chuẩn
normative,tiêu chuẩn
norse,(thuộc) na-uy
norseman,người na-uy
norsk,(thuộc) na-uy
north-east,phía đông bắc
north-easter,gió đông bắc
north-easterly,đông bắc
north-eastern,đông bắc
north-west,phía tây bắc
north-wester,bề hướng tây bắc; từ hướng tây bắc
north-westerly,tây bắc
north-western,tây bắc
norther,gió bấc (ở mỹ)
northerly,bắc
northern,bắc | bán cầu bắc
northerner,người phương bắc
northernermost,cực bắc
northing,(hàng hải) sự hướng về phía bắc; sự tiến về phía bắc
northland,miền bắc
northward,hướng bắc
northwardly,bắc
northwards,về hướng bắc; từ hướng bắc
norward,về hướng bắc; từ hướng bắc
norwards,về hướng bắc; từ hướng bắc
norwegian,(thuộc) na-uy
nosebag,giỏ thức ăn (đeo ở cổ ngựa)
nosegay,bó hoa thơm
nosepipe,miệng (ống bể)
noser,gió ngược thổi mạnh
noserag,(từ lóng) khăn xỉ mũi
nosering,vòng đeo ở mũi (bò...)
nosey,có mũi to
nosher,người hay ăn vặt
nosology,(y học) khoa phân loại bệnh
nostoc,(thực vật học) táo trứng ếch
nostril,lỗ mũi
nosy,có mũi to
notary,công chứng viên ((cũng) notary public)
notaryship,chức công chứng viên
notation,ký hiệu
note-paper,giấy viết thư
notecase,ví đựng giấy bạc
notionalist,nhà tư tưởng
nougat,kẹo nuga
noun,(ngôn ngữ học) danh t
nourishing,b
nova,(thiên văn học) sao mới hiện
novae,(thiên văn học) sao mới hiện
novelese,văn phong (của) tiểu thuyết rẻ tiền
novelist,người viết tiểu thuyết
novelistic,(thuộc) tiểu thuyết
november,tháng mười một
novennial,chín năm một lần
novercal,(thuộc) dì ghẻ
nuance,sắc thái
nubble,cục nhỏ (than...) ((cũng) nub)
nubbly,thành cục nh
nucellus,(thực vật học) phôi tâm
nuchal,(giải phẫu) (thuộc) gáy
nuciferous,(thực vật học) có quả hạch
nucivorous,(động vật học) ăn quả hạch
nucleale,(sinh vật học) hạch nhân
nuclear-powered,dùng năng lượng nguyên tử làm sức đẩy (tàu...)
nucleation,sự cấu tạo hạt nhân
nucleolus,(sinh vật học) hạch nhân
nucleonics,kỹ thuật hạt nhân
nucule,(thực vật học) quả hạch con
nudism,chủ nghĩa khoả thân
nudist,người theo chủ nghĩa khoả thân
nuggar,thuyền nuga (ai-cập)
nugget,vàng cục tự nhiên; quặng vàng
nullah,dòng nước
nullification,sự huỷ bỏ; sự làm thành vô hiệu
nullify,huỷ bỏ; làm thành vô hiệu
nullity,(pháp lý) tính vô hiệu
numary,(thuộc) tiền
numb-fish,(động vật học) cá thụt
numenrable,có thể đếm được
numerical,(thuộc) số
numismatics,khoa nghiên cứu tiền đúc
numismatist,người nghiên cứu tiền đúc
numismatology,khoa (nghiên cứu) tiền đúc
nummulary,(thuộc) tiền
numnah,vải phủ yên ngựa
nun-buoy,(hàng hải) phao neo
nunciature,chức đại sứ của giáo hoàng
nuncio,đại sứ của giáo hoàng
nunnery,nữ tu viện
nurse-pond,ao nuôi cá
nursery,phòng dành riêng cho tre bú
nurseryman,người trông nom vườn ương
nurture,đồ ăn
nut-brown,nâu sẫm
nut-oil,dầu hạt phỉ
nut-tree,(thực vật học) cây phỉ
nutate,lắc đầu
nutation,tật lắc đầu luôn luôn
nutmeat,nhân hạt phỉ
nutmeg,hạt nhục đậu khấu
nutmeg-tree,(thực vật học) cây thực đậu khấu
nutria,(động vật học) chuột hải ly
nutritiousness,tính chất bổ; sự có chất dinh dưỡng
nutritive,bổ; có chất bổ; dinh dưỡng
nutshell,bỏ quả hạch | tất cả sự việc tóm tắt gọn lại
nyctalopia,(y học) chứng quáng gà
nyctalopic,mắc chứng quáng gà
nylghau,(động vật học) linh dương mingai (ân độ)
nylon,ni lông
nymphet,nữ thần trẻ đẹp
nympho,(từ lóng) người đàn bà cuồng dâm
nympholepsy,bệnh cuồng tưởng
nympholept,người cuồng tưởng
nymphomaniac,(y học) chứng cuồng dâm (của đàn bà)
